week,AFC_dairy,cover_LU_dairy,growth_dairy,demand_dairy,stocking_rate_dairy,pregrazing_yield_dairy,diet_grass_dairy,diet_supplement_dairy,AFC_drystock,pregrazing_yield_drystock,growth_drystock,stocking_rate_drystock,demand_drystock,days_ahead_drystock,DM_Moorepark,DM_Grange,DM_Ballyhaise,DM_Athenry,DM_Kilworth,DM_Clonakilty
2021-11-22,674.0,255.0,16.0,22.0,2.64,1580.0,5.0,13.0,582.0,1450.0,14.0,1.4,16.0,36.0,,,,,,
2021-11-29,671.0,,11.0,,,,,,665.0,,13.0,,,,,0.122,,,,
2021-12-06,707.0,,12.0,,,,,,595.0,,10.0,,,,,,,,,
2021-12-13,,,,,,,,,,,,,,,,,,,,
2021-12-20,,,,,,,,,,,,,,,,,,,,
2021-12-27,,,,,,,,,,,,,,,,,,,,
2022-01-03,,,,,,,,,,,,,,,,,,,,
2022-01-10,,,,,,,,,,,,,,,,,,,,
2022-01-17,845.0,,5.0,,,,,,,,,,,,0.145,,,,,
2022-01-24,,,,,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,
2022-02-14,,,,,,,,,,,,,,,,,,,,
2022-02-21,,,,,,,,,,,,,,,,,,,,
2022-02-28,965.0,,8.0,,,,,,,,,,,,0.155,,,,0.15,
2022-03-07,,,,,,,,,,,,,,,,,,,,
2022-03-14,,,,,,,,,,,,,,,,,,,,
2022-03-21,,,,,,,,,,,,,,,,,,,,
2022-03-28,790.0,,20.0,30.0,2.6,,11.0,6.0,768.0,,17.0,1.9,25.0,,0.195,0.21,,,,
2022-04-04,790.0,,20.0,30.0,2.6,,11.0,6.0,752.0,,22.0,2.4,30.0,,0.195,0.21,,,,
2022-04-11,705.0,214.0,30.0,40.0,3.3,,12.0,5.0,800.0,,23.0,2.5,32.0,25.0,0.164,0.205,,,0.165,
2022-04-18,701.0,220.0,39.0,42.0,3.2,,13.0,4.5,762.0,,33.0,2.96,35.0,22.0,,0.19,,0.16,,
2022-04-25,733.0,210.0,52.0,46.0,3.5,1599.0,13.0,4.0,764.0,1795.0,41.0,2.98,37.0,21.0,0.184,0.203,,,,
2022-05-02,770.0,210.0,57.0,50.0,3.65,1614.0,13.5,4.0,,,,,,,0.134,0.165,0.145,,,
2022-05-09,802.0,204.0,72.0,58.0,3.94,1673.0,14.5,3.5,880.0,1863.0,65.0,3.4,45.0,20.0,0.145,,,0.14,,
2022-05-16,800.0,200.0,75.0,62.0,4.0,1611.0,14.5,3.0,898.0,2034.0,70.0,3.64,47.0,19.0,0.14,,,0.155,,
2022-05-23,763.0,190.0,73.0,61.0,4.0,1741.0,15.0,2.75,827.0,1964.0,63.0,3.55,48.0,17.0,0.154,0.135,,,,
2022-05-30,719.0,184.0,68.0,59.0,2.85,1476.0,15.0,3.0,795.0,2071.0,61.0,3.25,45.0,18.0,0.18,,,0.17,,
2022-06-06,665.0,180.0,61.0,56.0,3.65,1589.0,14.75,3.25,720.0,1524.0,48.0,3.0,43.0,17.0,0.155,,,0.16,,
2022-06-13,663.0,180.0,60.0,55.0,3.6,1611.0,14.5,3.5,746.0,1604.0,49.0,3.06,41.0,18.0,0.185,0.19,,,,
2022-06-20,653.0,188.0,57.0,51.0,3.5,1524.0,14.0,4.0,688.0,1827.0,45.0,2.88,39.0,18.0,0.203,0.215,0.17,,,
2022-06-27,662.0,190.0,52.4,50.4,3.5,1524.0,14.0,3.8,735.0,1827.0,44.0,2.9,39.5,18.6,0.161,0.147,0.15,,,
