week,derry,antrim,down,armagh,fermanagh,tyrone
2020-06-08,51.0,46.6,39.0,42.8,57.6,65.0
2020-06-15,68.2,33.2,31.7,40.2,41.5,53.5
2020-06-22,70.1,62.4,65.3,68.5,91.7,68.7
2020-06-29,87.6,62.8,77.0,76.0,65.4,84.0
2020-07-06,83.3,83.9,77.8,78.6,70.2,77.7
2020-07-13,64.1,58.9,53.9,60.4,72.2,61.9
2020-07-20,63.9,68.0,66.8,69.6,70.7,76.7
2020-07-27,50.5,66.9,64.6,57.4,60.1,65.7
2020-08-03,62.2,58.7,66.0,64.1,72.5,66.1
2020-08-10,52.4,68.8,78.8,67.1,72.1,57.0
2020-08-17,46.6,58.5,62.3,65.2,56.9,79.8
2020-08-24,60.8,71.7,62.8,66.0,64.5,71.9
2020-08-31,54.7,59.9,59.7,60.8,58.6,66.7
2020-09-07,40.4,53.7,51.2,47.6,55.9,44.9
2020-09-14,19.3,23.2,5.3,14.5,9.6,14.0
2020-09-21,36.3,32.3,60.4,44.4,69.4,41.0
2020-09-28,41.1,44.6,44.7,45.2,47.6,47.1
2020-10-05,39.3,27.8,30.6,35.4,38.4,41.9
2020-10-12,23.5,33.8,33.3,32.2,27.6,30.6
2020-10-19,20.9,25.2,18.6,19.7,24.5,17.8
2020-10-26,,,,,,
2020-11-02,,,,,,
2020-11-09,,,,,,
2020-11-16,,,,,,
2020-11-23,,,,,,
2020-11-30,,,,,,
2020-12-07,,,,,,
2020-12-14,,,,,,
2020-12-21,,,,,,
2020-12-28,,,,,,
2021-01-04,,,,,,
2021-01-11,,,,,,
2021-01-18,,,,,,
2021-01-25,,,,,,
2021-02-01,,,,,,
2021-02-08,,,,,,
2021-02-15,,,,,,
2021-02-22,,,,,,
2021-03-01,,,,,,
2021-03-08,,,,,,
2021-03-15,,,,,,
2021-03-22,17.0,14.6,26.3,28.2,30.2,20.6
2021-03-29,29.9,22.6,29.2,24.3,19.4,20.4
2021-04-05,32.1,48.6,34.2,31.3,27.9,32.0
2021-04-12,33.4,33.0,20.8,45.7,54.1,21.1
2021-04-19,21.0,27.0,31.9,33.1,27.6,31.8
2021-04-26,44.5,39.2,44.1,46.9,49.7,46.8
2021-05-03,39.5,56.8,44.0,44.4,44.7,46.3
2021-05-10,47.0,33.7,51.4,47.3,43.2,41.6
2021-05-17,66.4,56.2,72.2,58.4,71.7,57.4
2021-05-24,61.2,65.8,63.0,54.1,62.7,58.8
2021-05-31,80.5,75.3,75.7,83.3,82.2,78.1
2021-06-07,105.5,96.2,82.0,87.6,93.2,95.9
2021-06-14,89.4,71.3,66.7,72.5,78.4,81.3
2021-06-21,75.0,88.2,46.1,63.3,65.7,69.9
2021-06-28,49.7,54.8,55.9,57.2,58.5,59.2
2021-07-05,54.6,55.1,48.9,51.4,54.0,66.1
2021-07-12,68.6,41.0,36.1,56.0,68.2,63.5
2021-07-19,44.8,55.1,21.3,42.7,64.2,60.4
2021-07-26,48.9,46.6,25.8,31.9,38.0,35.8
2021-08-02,43.3,27.8,26.6,37.4,48.1,45.6
2021-08-09,60.8,53.2,42.3,51.2,60.2,57.9
2021-08-16,78.2,58.8,64.4,71.9,79.3,74.4
2021-08-23,82.4,60.5,62.2,60.5,58.8,68.4
2021-08-30,74.1,73.3,70.0,76.8,83.6,75.2
2021-09-06,66.0,60.2,59.8,60.9,62.0,64.7
2021-09-13,46.5,53.7,53.5,54.7,55.9,68.5
2021-09-20,75.6,58.0,48.0,56.2,64.3,58.4
2021-09-27,52.8,48.4,47.8,53.9,60.1,56.9
2021-10-04,42.7,37.1,40.9,45.3,49.8,53.2
2021-10-11,22.2,49.9,33.6,36.1,38.6,35.9
2021-10-18,33.5,48.2,25.1,28.4,31.8,33.6
2021-10-25,22.5,37.8,34.6,32.3,30.0,22.4
2021-11-01,,,,,,
2021-11-08,,,,,,
2021-11-15,,,,,,
2021-11-22,,,,,,
2021-11-29,,,,,,
2021-12-06,,,,,,
2021-12-13,,,,,,
2021-12-20,,,,,,
2021-12-27,,,,,,
2022-01-03,,,,,,
2022-01-10,,,,,,
2022-01-17,,,,,,
2022-01-24,,,,,,
2022-01-31,,,,,,
2022-02-07,,,,,,
2022-02-14,,,,,,
2022-02-21,,,,,,
2022-02-28,,,,,,
2022-03-07,,,,,,
2022-03-14,,,,,,
2022-03-21,6.6,17.6,16.5,13.7,10.8,11.5
2022-03-28,21.0,36.1,24.5,20.1,15.7,19.9
2022-04-04,23.1,37.1,24.8,20.0,22.1,32.9
2022-04-11,23.1,39.0,31.1,25.5,19.9,27.1
2022-04-18,48.0,58.2,56.2,42.6,28.9,27.1
2022-04-25,51.8,71.7,57.1,50.9,44.8,54.9
2022-05-02,63.0,68.7,52.7,53.9,55.2,46.0
2022-05-09,88.6,81.5,81.0,97.2,113.4,77.1
2022-05-16,110.0,90.7,89.4,101.0,84.6,85.8
2022-05-23,84.9,97.1,86.4,116.8,74.2,75.8
2022-05-30,78.2,77.7,66.7,71.7,76.7,60.0
2022-06-06,62.5,67.5,69.3,64.0,54.6,63.7
2022-06-13,71.4,66.4,61.8,65.9,70.1,72.2
2022-06-20,59.1,64.5,61.7,61.6,61.5,54.0
2022-06-27,78.4,67.8,44.9,55.8,66.8,69.2
2022-07-04,86.8,65.6,57.6,61.9,66.3,65.1
2022-07-11,66.0,71.7,69.5,62.4,55.4,63.0
2022-07-18,66.5,52.3,51.2,61.0,70.8,66.1
2022-07-25,72.1,54.8,42.2,50.2,58.2,64.4
2022-08-01,47.6,48.5,42.1,61.5,80.9,56.2
2022-08-08,61.7,48.3,51.4,53.4,49.8,59.2
2022-08-15,44.4,46.7,27.4,37.4,47.4,47.2
2022-08-22,47.2,38.0,32.3,44.5,56.8,39.4
2022-08-29,45.4,39.1,40.6,35.9,65.0,61.6
2022-09-05,48.8,34.5,37.7,47.1,56.4,56.1
2022-09-12,46.8,33.2,40.4,47.9,55.5,47.0
2022-09-19,,,,,,
2022-09-26,,,,,,
2022-10-03,,,,,,
2022-10-10,,,,,,
2022-10-17,,,,,,
2022-10-24,,,,,,
2022-10-31,,,,,,
2022-11-07,,,,,,
2022-11-14,,,,,,
2022-11-21,,,,,,
2022-11-28,,,,,,
2022-12-05,,,,,,
2022-12-12,,,,,,
2022-12-19,,,,,,
2022-12-26,,,,,,
